Mutant, System, Mutation Operator, Human-Fail, Branch-Fail, Default-Fail, Human-Error, Branch-Error, Default-Error,result
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1042,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1043,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1044,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1045,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1046,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1048,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1049,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_105,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1050,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1051,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1052,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1053,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1054,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1055,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1056,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1057,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1058,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1059,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_106,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1060,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1061,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1062,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1063,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1064,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1065,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1066,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1067,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1068,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1069,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_107,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1070,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1071,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1072,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1073,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1074,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1075,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1076,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1077,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1078,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1079,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_108,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1080,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1081,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1082,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1083,commonsCompress,OAN,1,0,0,0,0,0,only-human
